Tue Jun  9 19:23:24 2020    QAOA-profile-p4

         118850644 function calls (118296919 primitive calls) in 96.043 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   625924    0.127    0.000    0.172    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\instruction.py:167(<genexpr>)
   369138    0.125    0.000    0.125    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\quantumcircuit.py:454(cast)
   164507    0.125    0.000    0.176    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\re.py:271(_compile)
    67284    0.122    0.000    0.410    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\numpy\core\numeric.py:283(full)
    20065    0.119    0.000    0.188    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\validation\base.py:127(dump_additional_data)
   252781    0.118    0.000    0.118    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\instructionset.py:25(__init__)
     4013    0.117    0.000    3.844    0.001 C:\Users\joost\Documents\GitHub\bep\Implementation\ZhouClass\QAOA.py:62(<listcomp>)
     4013    0.114    0.000    3.819    0.001 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\transpiler\preset_passmanagers\level1.py:49(level_1_pass_manager)
   156481    0.114    0.000    4.081    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\instruction.py:171(definition)
    76247    0.111    0.000    0.175    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\inspect.py:484(unwrap)
        4    0.111    0.028   96.039   24.010 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\scipy\optimize\optimize.py:456(_minimize_neldermead)
   264820    0.111    0.000    0.111    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\qobj\qasm_qobj.py:41(__init__)
    63271    0.106    0.000    0.415    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\result\postprocess.py:48(format_counts_memory)
   409270    0.104    0.000    0.104    0.000 {method 'rpartition' of 'str' objects}
   629957    0.102    0.000    0.102    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\register.py:86(size)
   413281    0.101    0.000    0.101    0.000 {method 'index' of 'list' objects}
     8026    0.098    0.000    0.409    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\quantumcircuit.py:137(__init__)
   188585    0.098    0.000    0.216    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\bit.py:46(_update_hash)
   120370    0.092    0.000    0.434    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\library\standard_gates\x.py:73(__init__)
    63271    0.092    0.000    0.092    0.000 C:\Users\joost\Documents\GitHub\bep\Implementation\ZhouClass\QAOA.py:60(<listcomp>)
    75308    0.091    0.000    0.107    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\networkx\classes\reportviews.py:906(__init__)
   140455    0.090    0.000    0.125    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\enum.py:284(__call__)
    67284    0.089    0.000    0.089    0.000 {built-in method builtins.sum}
