Tue Jun 23 13:33:19 2020    pso-static

         15241129 function calls (15186465 primitive calls) in 14.104 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    18641    0.014    0.000    0.036    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\networkx\classes\graph.py:1242(edges)
    17541    0.014    0.000    0.017    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\result\postprocess.py:22(_hex_to_bin)
    22000    0.014    0.000    0.015    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\gate.py:145(_broadcast_2_arguments)
   124409    0.014    0.000    0.014    0.000 {method 'items' of 'dict' objects}
    16500    0.014    0.000    0.014    0.000 {method 'match' of 're.Pattern' objects}
    37400    0.014    0.000    0.014    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\quantumcircuit.py:454(cast)
     1100    0.013    0.000    0.038    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\compiler\assemble.py:166(_parse_common_args)
    11000    0.013    0.000    0.102    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\marshmallow\fields.py:287(serialize)
    18641    0.013    0.000    0.019    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\networkx\classes\graph.py:1345(adjacency)
     1100    0.013    0.000    0.052    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\compiler\transpile.py:310(_parse_transpile_args)
    19842    0.013    0.000    0.064    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\transpiler\passes\optimization\optimize_1q_gates.py:267(<lambda>)
    16500    0.013    0.000    0.018    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\re.py:271(_compile)
    23100    0.013    0.000    0.013    0.000 {built-in method _abc._abc_instancecheck}
     1100    0.013    0.000    6.261    0.006 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\compiler\transpile.py:255(_transpile_circuit)
    11000    0.013    0.000    0.016    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\controlledgate.py:132(definition)
   114400    0.013    0.000    0.013    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\inspect.py:2517(name)
    17541    0.013    0.000    0.030    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\result\postprocess.py:32(_pad_zeros)
     9900    0.012    0.000    0.012    0.000 {method 'item' of 'numpy.generic' objects}
    49006    0.012    0.000    0.012    0.000 {method 'index' of 'list' objects}
